wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate
0,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1
1,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,0.0,,5,1
2,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1
3,experiment,experiment,SDS,TTAB,0.0001,0.0001,SDS_dilution_0,0.0005,40.0,TTAB_dilution_0,0.0005,40.0,120.0,0.0,,5,1
4,experiment,experiment,SDS,TTAB,0.0001,0.0004666838959452567,SDS_dilution_0,0.0005,40.0,TTAB_dilution_1,0.003,31.112259729683778,128.88774027031621,0.0,,5,1
5,experiment,experiment,SDS,TTAB,0.0001,0.002177938587346432,SDS_dilution_0,0.0005,40.0,TTAB_dilution_2,0.02,21.779385873464317,138.22061412653568,0.0,,5,1
6,experiment,experiment,SDS,TTAB,0.0001,0.010164088650723414,SDS_dilution_0,0.0005,40.0,TTAB_dilution_3,0.05,40.65635460289366,119.34364539710634,0.0,,5,1
7,experiment,experiment,SDS,TTAB,0.0001,0.0474341649025257,SDS_dilution_0,0.0005,40.0,TTAB_dilution_4,0.30000000000000004,31.622776601683796,128.3772233983162,0.0,,5,1
8,experiment,experiment,SDS,TTAB,0.0001,0.2213676087762045,SDS_dilution_0,0.0005,40.0,TTAB_dilution_5,3.0,14.7578405850803,145.24215941491968,0.0,,5,1
9,experiment,experiment,SDS,TTAB,0.0001,1.033086980997645,SDS_dilution_0,0.0005,40.0,TTAB_dilution_5,3.0,68.87246539984301,91.12753460015699,0.0,,5,1
10,experiment,experiment,SDS,TTAB,0.0001,4.821250571423044,SDS_dilution_0,0.0005,40.0,TTAB_stock,50.0,19.285002285692176,140.71499771430783,0.0,,5,1
11,experiment,experiment,SDS,TTAB,0.0001,22.5,SDS_dilution_0,0.0005,40.0,TTAB_stock,50.0,90.0,70.0,0.0,,5,1
12,experiment,experiment,SDS,TTAB,0.0004666838959452567,0.0001,SDS_dilution_1,0.003,31.112259729683778,TTAB_dilution_0,0.0005,40.0,128.88774027031621,0.0,,5,1
13,experiment,experiment,SDS,TTAB,0.0004666838959452567,0.0004666838959452567,SDS_dilution_1,0.003,31.112259729683778,TTAB_dilution_1,0.003,31.112259729683778,137.77548054063243,0.0,,5,1
14,experiment,experiment,SDS,TTAB,0.0004666838959452567,0.002177938587346432,SDS_dilution_1,0.003,31.112259729683778,TTAB_dilution_2,0.02,21.779385873464317,147.1083543968519,0.0,,5,1
15,experiment,experiment,SDS,TTAB,0.0004666838959452567,0.010164088650723414,SDS_dilution_1,0.003,31.112259729683778,TTAB_dilution_3,0.05,40.65635460289366,128.23138566742256,0.0,,5,1
16,experiment,experiment,SDS,TTAB,0.0004666838959452567,0.0474341649025257,SDS_dilution_1,0.003,31.112259729683778,TTAB_dilution_4,0.30000000000000004,31.622776601683796,137.26496366863242,0.0,,5,1
17,experiment,experiment,SDS,TTAB,0.0004666838959452567,0.2213676087762045,SDS_dilution_1,0.003,31.112259729683778,TTAB_dilution_5,3.0,14.7578405850803,154.12989968523593,0.0,,5,1
18,experiment,experiment,SDS,TTAB,0.0004666838959452567,1.033086980997645,SDS_dilution_1,0.003,31.112259729683778,TTAB_dilution_5,3.0,68.87246539984301,100.0152748704732,0.0,,5,1
19,experiment,experiment,SDS,TTAB,0.0004666838959452567,4.821250571423044,SDS_dilution_1,0.003,31.112259729683778,TTAB_stock,50.0,19.285002285692176,149.60273798462404,0.0,,5,1
20,experiment,experiment,SDS,TTAB,0.0004666838959452567,22.5,SDS_dilution_1,0.003,31.112259729683778,TTAB_stock,50.0,90.0,78.88774027031621,0.0,,5,1
21,experiment,experiment,SDS,TTAB,0.002177938587346432,0.0001,SDS_dilution_2,0.02,21.779385873464317,TTAB_dilution_0,0.0005,40.0,138.22061412653568,0.0,,5,1
22,experiment,experiment,SDS,TTAB,0.002177938587346432,0.0004666838959452567,SDS_dilution_2,0.02,21.779385873464317,TTAB_dilution_1,0.003,31.112259729683778,147.1083543968519,0.0,,5,1
23,experiment,experiment,SDS,TTAB,0.002177938587346432,0.002177938587346432,SDS_dilution_2,0.02,21.779385873464317,TTAB_dilution_2,0.02,21.779385873464317,156.44122825307136,0.0,,5,1
24,experiment,experiment,SDS,TTAB,0.002177938587346432,0.010164088650723414,SDS_dilution_2,0.02,21.779385873464317,TTAB_dilution_3,0.05,40.65635460289366,137.56425952364202,0.0,,5,1
25,experiment,experiment,SDS,TTAB,0.002177938587346432,0.0474341649025257,SDS_dilution_2,0.02,21.779385873464317,TTAB_dilution_4,0.30000000000000004,31.622776601683796,146.59783752485188,0.0,,5,1
26,experiment,experiment,SDS,TTAB,0.002177938587346432,0.2213676087762045,SDS_dilution_2,0.02,21.779385873464317,TTAB_dilution_5,3.0,14.7578405850803,163.4627735414554,0.0,,5,1
27,experiment,experiment,SDS,TTAB,0.002177938587346432,1.033086980997645,SDS_dilution_2,0.02,21.779385873464317,TTAB_dilution_5,3.0,68.87246539984301,109.34814872669267,0.0,,5,1
28,experiment,experiment,SDS,TTAB,0.002177938587346432,4.821250571423044,SDS_dilution_2,0.02,21.779385873464317,TTAB_stock,50.0,19.285002285692176,158.9356118408435,0.0,,5,1
29,experiment,experiment,SDS,TTAB,0.002177938587346432,22.5,SDS_dilution_2,0.02,21.779385873464317,TTAB_stock,50.0,90.0,88.22061412653568,0.0,,5,1
30,experiment,experiment,SDS,TTAB,0.010164088650723414,0.0001,SDS_dilution_3,0.05,40.65635460289366,TTAB_dilution_0,0.0005,40.0,119.34364539710634,0.0,,5,1
31,experiment,experiment,SDS,TTAB,0.010164088650723414,0.0004666838959452567,SDS_dilution_3,0.05,40.65635460289366,TTAB_dilution_1,0.003,31.112259729683778,128.23138566742256,0.0,,5,1
32,experiment,experiment,SDS,TTAB,0.010164088650723414,0.002177938587346432,SDS_dilution_3,0.05,40.65635460289366,TTAB_dilution_2,0.02,21.779385873464317,137.56425952364202,0.0,,5,1
