wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,turbidity_600,fluorescence_334_373,fluorescence_334_384,ratio
0,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1,0.0411,79480.0,75710.0,1.0497952714304584
1,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,0.0,,5,1,0.0379,202308.0,255887.0,0.7906146072289721
2,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.0388,314708.0,367783.0,0.8556893603021347
3,control,cmc_SDS_1,SDS,TTAB,2.8666666666666667,,SDS_dilution_1,4.0,143.33333333333334,,,0.0,56.66666666666666,0.0,,5,1,0.0393,286357.0,332265.0,0.8618331753269228
4,control,cmc_SDS_2,SDS,TTAB,4.635725860128543,,SDS_dilution_0,10.0,92.71451720257087,,,0.0,107.28548279742913,0.0,,5,1,0.0393,253213.0,290569.0,0.8714384535170648
5,control,cmc_SDS_3,SDS,TTAB,6.534586896603694,,SDS_dilution_0,10.0,130.6917379320739,,,0.0,69.30826206792611,0.0,,5,1,0.0382,236588.0,272849.0,0.8671023166659948
6,control,cmc_SDS_4,SDS,TTAB,8.02931271970357,,SDS_dilution_0,10.0,160.58625439407143,,,0.0,39.41374560592857,0.0,,5,1,0.0387,229265.0,271922.0,0.8431278087098506
7,control,cmc_SDS_5,SDS,TTAB,9.211249154427064,,SDS_dilution_0,10.0,184.22498308854125,,,0.0,15.77501691145875,0.0,,5,1,0.0391,227010.0,279400.0,0.8124910522548318
8,control,cmc_SDS_6,SDS,TTAB,11.318236511391435,,SDS_stock,50.0,45.27294604556574,,,0.0,154.72705395443427,0.0,,5,1,0.0408,254596.0,324785.0,0.7838908816601752
9,control,cmc_SDS_7,SDS,TTAB,15.954351536643529,,SDS_stock,50.0,63.817406146574115,,,0.0,136.18259385342589,0.0,,5,1,0.0377,241749.0,306542.0,0.7886325527986378
10,control,cmc_SDS_8,SDS,TTAB,25.799999999999994,,SDS_stock,50.0,103.19999999999999,,,0.0,96.80000000000001,0.0,,5,1,0.0384,236586.0,303357.0,0.7798929973595466
11,control,cmc_TTAB_1,SDS,TTAB,,1.2566666666666668,,,0.0,TTAB_dilution_2,1.5,167.55555555555557,32.44444444444443,0.0,,5,1,0.038,225308.0,254815.0,0.8842022643878893
12,control,cmc_TTAB_2,SDS,TTAB,,2.032172847986583,,,0.0,TTAB_dilution_1,4.0,101.60864239932914,98.39135760067086,0.0,,5,1,0.0387,186650.0,206709.0,0.9029602000880464
13,control,cmc_TTAB_3,SDS,TTAB,,2.8645805349065045,,,0.0,TTAB_dilution_1,4.0,143.22902674532523,56.77097325467477,0.0,,5,1,0.0378,162930.0,179213.0,0.9091416359304292
14,control,cmc_TTAB_4,SDS,TTAB,,3.5198266224747057,,,0.0,TTAB_dilution_1,4.0,175.99133112373528,24.00866887626472,0.0,,5,1,0.0378,147002.0,161875.0,0.9081204633204634
15,control,cmc_TTAB_5,SDS,TTAB,,4.037954571184888,,,0.0,TTAB_dilution_0,10.0,80.75909142369775,119.24090857630225,0.0,,5,1,1.5906,142583.0,158146.0,0.9015909349588355
16,control,cmc_TTAB_6,SDS,TTAB,,4.961599028830897,,,0.0,TTAB_dilution_0,10.0,99.23198057661794,100.76801942338206,0.0,,5,1,0.0466,167754.0,199936.0,0.8390384923175416
17,control,cmc_TTAB_7,SDS,TTAB,,6.993942475947224,,,0.0,TTAB_dilution_0,10.0,139.8788495189445,60.12115048105551,0.0,,5,1,0.0382,186073.0,227422.0,0.8181838168690804
18,control,cmc_TTAB_8,SDS,TTAB,,11.31,,,0.0,TTAB_stock,50.0,45.24,154.76,0.0,,5,1,0.0387,192450.0,235637.0,0.8167223313825928
19,experiment,experiment,SDS,TTAB,0.01,0.01,SDS_dilution_5,0.1,20.0,TTAB_dilution_5,0.1,20.0,160.0,0.0,,5,1,0.0406,247533.0,282462.0,0.8763408883318818
20,experiment,experiment,SDS,TTAB,0.01,0.06887246539984299,SDS_dilution_5,0.1,20.0,TTAB_dilution_3,0.7000000000000001,19.677847257097994,160.322152742902,0.0,,5,1,0.0401,224085.0,253625.0,0.8835288319369148
21,experiment,experiment,SDS,TTAB,0.01,0.474341649025257,SDS_dilution_5,0.1,20.0,TTAB_dilution_1,4.0,23.71708245126285,156.28291754873715,0.0,,5,1,0.038,223125.0,250597.0,0.8903737873956991
22,experiment,experiment,SDS,TTAB,0.01,3.266907881019648,SDS_dilution_5,0.1,20.0,TTAB_stock,50.0,13.067631524078593,166.9323684759214,0.0,,5,1,0.0428,152012.0,166474.0,0.9131275754772517
23,experiment,experiment,SDS,TTAB,0.01,22.5,SDS_dilution_5,0.1,20.0,TTAB_stock,50.0,90.0,90.0,0.0,,5,1,0.0381,195244.0,240903.0,0.8104672835124511
24,experiment,experiment,SDS,TTAB,0.06887246539984299,0.01,SDS_dilution_3,0.7000000000000001,19.677847257097994,TTAB_dilution_5,0.1,20.0,160.322152742902,0.0,,5,1,0.0391,237861.0,267203.0,0.8901883586636378
25,experiment,experiment,SDS,TTAB,0.06887246539984299,0.06887246539984299,SDS_dilution_3,0.7000000000000001,19.677847257097994,TTAB_dilution_3,0.7000000000000001,19.677847257097994,160.644305485804,0.0,,5,1,0.0795,206512.0,236697.0,0.8724740913488553
26,experiment,experiment,SDS,TTAB,0.06887246539984299,0.474341649025257,SDS_dilution_3,0.7000000000000001,19.677847257097994,TTAB_dilution_1,4.0,23.71708245126285,156.60507029163915,0.0,,5,1,0.0431,203259.0,228129.0,0.8909827334534408
27,experiment,experiment,SDS,TTAB,0.06887246539984299,3.266907881019648,SDS_dilution_3,0.7000000000000001,19.677847257097994,TTAB_stock,50.0,13.067631524078593,167.2545212188234,0.0,,5,1,0.061,124154.0,138702.0,0.8951132644085882
28,experiment,experiment,SDS,TTAB,0.06887246539984299,22.5,SDS_dilution_3,0.7000000000000001,19.677847257097994,TTAB_stock,50.0,90.0,90.322152742902,0.0,,5,1,0.0393,195492.0,243469.0,0.8029441119814021
