wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,turbidity_600,fluorescence_334_373,fluorescence_334_384,ratio
0,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1,0.0385,233230.0,297290.0,0.7845201654949713
1,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,0.0,,5,1,0.0384,185199.0,233807.0,0.7921020328732673
2,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.0382,289020.0,335006.0,0.8627308167614909
3,experiment,experiment,SDS,TTAB,0.0001,0.0001,SDS_dilution_5,0.001,20.0,TTAB_dilution_5,0.001,20.0,160.0,0.0,,5,1,0.038,294359.0,341190.0,0.862742167120959
4,experiment,experiment,SDS,TTAB,0.0001,0.002177938587346432,SDS_dilution_5,0.001,20.0,TTAB_dilution_3,0.04,10.889692936732159,169.11030706326784,0.0,,5,1,0.0383,278519.0,321984.0,0.8650088203140529
5,experiment,experiment,SDS,TTAB,0.0001,0.0474341649025257,SDS_dilution_5,0.001,20.0,TTAB_dilution_2,0.30000000000000004,31.622776601683796,148.3772233983162,0.0,,5,1,0.038,281854.0,325554.0,0.8657672767037112
6,experiment,experiment,SDS,TTAB,0.0001,1.033086980997645,SDS_dilution_5,0.001,20.0,TTAB_dilution_0,10.0,20.661739619952904,159.3382603800471,0.0,,5,1,0.0383,244257.0,280922.0,0.8694833441311112
7,experiment,experiment,SDS,TTAB,0.0001,22.5,SDS_dilution_5,0.001,20.0,TTAB_stock,50.0,90.0,90.0,0.0,,5,1,0.0384,189337.0,234504.0,0.8073934772967625
8,experiment,experiment,SDS,TTAB,0.002177938587346432,0.0001,SDS_dilution_3,0.04,10.889692936732159,TTAB_dilution_5,0.001,20.0,169.11030706326784,0.0,,5,1,0.0384,301631.0,349130.0,0.8639503909718443
9,experiment,experiment,SDS,TTAB,0.002177938587346432,0.002177938587346432,SDS_dilution_3,0.04,10.889692936732159,TTAB_dilution_3,0.04,10.889692936732159,178.22061412653568,0.0,,5,1,0.038,273317.0,316723.0,0.8629528010280276
10,experiment,experiment,SDS,TTAB,0.002177938587346432,0.0474341649025257,SDS_dilution_3,0.04,10.889692936732159,TTAB_dilution_2,0.30000000000000004,31.622776601683796,157.48753046158404,0.0,,5,1,0.0383,261828.0,302693.0,0.8649952261862679
11,experiment,experiment,SDS,TTAB,0.002177938587346432,1.033086980997645,SDS_dilution_3,0.04,10.889692936732159,TTAB_dilution_0,10.0,20.661739619952904,168.44856744331494,0.0,,5,1,0.0382,244655.0,281769.0,0.8682821744052752
12,experiment,experiment,SDS,TTAB,0.002177938587346432,22.5,SDS_dilution_3,0.04,10.889692936732159,TTAB_stock,50.0,90.0,99.11030706326784,0.0,,5,1,0.0383,189065.0,232660.0,0.8126235708759564
13,experiment,experiment,SDS,TTAB,0.0474341649025257,0.0001,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_dilution_5,0.001,20.0,148.3772233983162,0.0,,5,1,0.0379,326837.0,378807.0,0.8628061255467824
14,experiment,experiment,SDS,TTAB,0.0474341649025257,0.002177938587346432,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_dilution_3,0.04,10.889692936732159,157.48753046158404,0.0,,5,1,0.0376,296490.0,343266.0,0.8637324989949485
15,experiment,experiment,SDS,TTAB,0.0474341649025257,0.0474341649025257,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_dilution_2,0.30000000000000004,31.622776601683796,136.7544467966324,0.0,,5,1,0.0556,224928.0,261565.0,0.8599315657675912
16,experiment,experiment,SDS,TTAB,0.0474341649025257,1.033086980997645,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_dilution_0,10.0,20.661739619952904,147.7154837783633,0.0,,5,1,0.0396,208690.0,238770.0,0.8740210244168027
17,experiment,experiment,SDS,TTAB,0.0474341649025257,22.5,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_stock,50.0,90.0,78.3772233983162,0.0,,5,1,0.0383,208405.0,264140.0,0.7889944726281517
18,experiment,experiment,SDS,TTAB,1.033086980997645,0.0001,SDS_dilution_0,10.0,20.661739619952904,TTAB_dilution_5,0.001,20.0,159.3382603800471,0.0,,5,1,0.038,309977.0,358658.0,0.8642690250879668
19,experiment,experiment,SDS,TTAB,1.033086980997645,0.002177938587346432,SDS_dilution_0,10.0,20.661739619952904,TTAB_dilution_3,0.04,10.889692936732159,168.44856744331494,0.0,,5,1,0.0376,264425.0,301960.0,0.8756954563518347
20,experiment,experiment,SDS,TTAB,1.033086980997645,0.0474341649025257,SDS_dilution_0,10.0,20.661739619952904,TTAB_dilution_2,0.30000000000000004,31.622776601683796,147.7154837783633,0.0,,5,1,0.0392,194101.0,217781.0,0.8912669149282996
21,experiment,experiment,SDS,TTAB,1.033086980997645,1.033086980997645,SDS_dilution_0,10.0,20.661739619952904,TTAB_dilution_0,10.0,20.661739619952904,158.6765207600942,0.0,,5,1,0.4851,68840.0,94532.0,0.7282190157830153
22,experiment,experiment,SDS,TTAB,1.033086980997645,22.5,SDS_dilution_0,10.0,20.661739619952904,TTAB_stock,50.0,90.0,89.3382603800471,0.0,,5,1,0.0388,209912.0,264022.0,0.795054957541417
23,experiment,experiment,SDS,TTAB,22.5,0.0001,SDS_stock,50.0,90.0,TTAB_dilution_5,0.001,20.0,90.0,0.0,,5,1,0.0386,239547.0,307263.0,0.7796155085382881
24,experiment,experiment,SDS,TTAB,22.5,0.002177938587346432,SDS_stock,50.0,90.0,TTAB_dilution_3,0.04,10.889692936732159,99.11030706326784,0.0,,5,1,0.0388,230597.0,293903.0,0.784602402833588
25,experiment,experiment,SDS,TTAB,22.5,0.0474341649025257,SDS_stock,50.0,90.0,TTAB_dilution_2,0.30000000000000004,31.622776601683796,78.3772233983162,0.0,,5,1,0.0384,252102.0,325256.0,0.7750879307376344
26,experiment,experiment,SDS,TTAB,22.5,1.033086980997645,SDS_stock,50.0,90.0,TTAB_dilution_0,10.0,20.661739619952904,89.3382603800471,0.0,,5,1,0.0456,230514.0,296586.0,0.7772248184337763
27,experiment,experiment,SDS,TTAB,22.5,22.5,SDS_stock,50.0,90.0,TTAB_stock,50.0,90.0,20.0,0.0,,5,1,3.0128,117113.0,170537.0,0.686730738783959
28,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1,0.0387,227428.0,293679.0,0.7744101553056228
29,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,0.0,,5,1,0.039,187912.0,236121.0,0.7958292570334701
30,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.0377,307951.0,353060.0,0.8722341811590097
31,experiment,experiment,SDS,TTAB,8.056887661896026,8.056887661896026,SDS_stock,50.0,32.2275506475841,TTAB_stock,50.0,32.2275506475841,135.54489870483178,0.0,,5,1,0.0383,224914.0,271849.0,0.8273490062497931
32,experiment,experiment,SDS,TTAB,0.36993181114957063,0.36993181114957063,SDS_dilution_1,1.5,49.32424148660942,TTAB_dilution_1,1.5,49.32424148660942,101.35151702678117,0.0,,5,1,0.1581,105580.0,121226.0,0.8709352779106793
33,experiment,experiment,SDS,TTAB,2.8850417242849957,0.36993181114957063,SDS_dilution_0,10.0,57.70083448569992,TTAB_dilution_1,1.5,49.32424148660942,92.97492402769066,0.0,,5,1,0.0508,168452.0,191041.0,0.8817583660052031
34,experiment,experiment,SDS,TTAB,0.36993181114957063,2.8850417242849957,SDS_dilution_1,1.5,49.32424148660942,TTAB_dilution_0,10.0,57.70083448569992,92.97492402769066,0.0,,5,1,0.0468,155267.0,175180.0,0.8863283479849298
35,experiment,experiment,SDS,TTAB,8.056887661896026,0.016985410575800032,SDS_stock,50.0,32.2275506475841,TTAB_dilution_3,0.04,84.92705287900016,82.84539647341575,0.0,,5,1,0.0383,183899.0,208299.0,0.8828606954426089
36,experiment,experiment,SDS,TTAB,2.8850417242849957,0.0007798847347892765,SDS_dilution_0,10.0,57.70083448569992,TTAB_dilution_4,0.007,22.28242099397933,120.01674452032074,0.0,,5,1,0.0391,265014.0,308353.0,0.8594500458889649
37,experiment,experiment,SDS,TTAB,0.016985410575800032,8.056887661896026,SDS_dilution_3,0.04,84.92705287900016,TTAB_stock,50.0,32.2275506475841,82.84539647341575,0.0,,5,1,0.0375,289621.0,342421.0,0.8458038496470719
38,experiment,experiment,SDS,TTAB,0.00027926416432999,8.056887661896026,SDS_dilution_5,0.001,55.85283286599799,TTAB_stock,50.0,32.2275506475841,111.91961648641791,0.0,,5,1,0.0375,275402.0,317685.0,0.8669027495789855
39,experiment,experiment,SDS,TTAB,0.1324666242219478,0.016985410575800032,SDS_dilution_2,0.30000000000000004,88.31108281463185,TTAB_dilution_3,0.04,84.92705287900016,26.76186430636801,0.0,,5,1,0.0389,258803.0,299389.0,0.8644372371730424
