start_time,action,sample_index,sample_set
0,dispense_from_reactor,0_min_Reaction,1
300,dispense_from_reactor,5_min_Reaction,1
600,dispense_from_reactor,10_min_Reaction,1
900,dispense_from_reactor,15_min_Reaction,1
1080,measure_samples,0_min_Reaction,1
1200,dispense_from_reactor,20_min_Reaction,1
1380,measure_samples,5_min_Reaction,1
1500,dispense_from_reactor,25_min_Reaction,1
1680,measure_samples,10_min_Reaction,1
1980,measure_samples,15_min_Reaction,1
2280,measure_samples,20_min_Reaction,1
2580,measure_samples,25_min_Reaction,1
2700,dispense_from_reactor,45_min_Reaction,1
3780,measure_samples,45_min_Reaction,1
